
--- 訓練啟動 S11 | Tue Apr  7 22:50:59 2026 ---
Epoch 01 | Train MSE: 6.6913 | Val Acc: 0.6000 | LR: 0.000500
Epoch 02 | Train MSE: 5.0541 | Val Acc: 0.6000 | LR: 0.000500
Epoch 03 | Train MSE: 4.9748 | Val Acc: 0.6000 | LR: 0.000500
Epoch 04 | Train MSE: 4.8520 | Val Acc: 0.6000 | LR: 0.000500
Epoch 05 | Train MSE: 4.7427 | Val Acc: 0.6000 | LR: 0.000500
Epoch 06 | Train MSE: 4.7143 | Val Acc: 0.5433 | LR: 0.000500
Epoch 07 | Train MSE: 4.6100 | Val Acc: 0.5962 | LR: 0.000500
Epoch 08 | Train MSE: 4.5219 | Val Acc: 0.6042 | LR: 0.000250
Epoch 09 | Train MSE: 4.5123 | Val Acc: 0.6017 | LR: 0.000250
Epoch 10 | Train MSE: 4.4762 | Val Acc: 0.5783 | LR: 0.000250
Epoch 11 | Train MSE: 4.4317 | Val Acc: 0.5700 | LR: 0.000250
Epoch 12 | Train MSE: 4.3896 | Val Acc: 0.5492 | LR: 0.000250
Epoch 13 | Train MSE: 4.3801 | Val Acc: 0.6050 | LR: 0.000250
Epoch 14 | Train MSE: 4.3133 | Val Acc: 0.5954 | LR: 0.000250
Epoch 15 | Train MSE: 4.2860 | Val Acc: 0.4004 | LR: 0.000250
Epoch 16 | Train MSE: 4.2648 | Val Acc: 0.5808 | LR: 0.000250
Epoch 17 | Train MSE: 4.2301 | Val Acc: 0.4050 | LR: 0.000250
Epoch 18 | Train MSE: 4.2079 | Val Acc: 0.4054 | LR: 0.000250
Epoch 19 | Train MSE: 4.1877 | Val Acc: 0.4025 | LR: 0.000250
Epoch 20 | Train MSE: 4.1098 | Val Acc: 0.4954 | LR: 0.000125
Epoch 21 | Train MSE: 4.0826 | Val Acc: 0.4571 | LR: 0.000125
Epoch 22 | Train MSE: 4.0852 | Val Acc: 0.4313 | LR: 0.000125
Epoch 23 | Train MSE: 4.0560 | Val Acc: 0.4000 | LR: 0.000125
Epoch 24 | Train MSE: 4.0323 | Val Acc: 0.4000 | LR: 0.000125
Epoch 25 | Train MSE: 4.0293 | Val Acc: 0.4208 | LR: 0.000125
Epoch 26 | Train MSE: 4.0039 | Val Acc: 0.4000 | LR: 0.000063
Epoch 27 | Train MSE: 3.9944 | Val Acc: 0.4017 | LR: 0.000063
Epoch 28 | Train MSE: 3.9846 | Val Acc: 0.4004 | LR: 0.000063
Epoch 29 | Train MSE: 3.9615 | Val Acc: 0.4000 | LR: 0.000063
Epoch 30 | Train MSE: 3.9504 | Val Acc: 0.4000 | LR: 0.000063
Epoch 31 | Train MSE: 3.9721 | Val Acc: 0.4004 | LR: 0.000063
Epoch 32 | Train MSE: 3.9502 | Val Acc: 0.4000 | LR: 0.000031
Epoch 33 | Train MSE: 3.9355 | Val Acc: 0.4000 | LR: 0.000031
Epoch 34 | Train MSE: 3.9447 | Val Acc: 0.4000 | LR: 0.000031
Epoch 35 | Train MSE: 3.9271 | Val Acc: 0.4000 | LR: 0.000031
Epoch 36 | Train MSE: 3.9398 | Val Acc: 0.4000 | LR: 0.000031
Epoch 37 | Train MSE: 3.9174 | Val Acc: 0.4000 | LR: 0.000031
Epoch 38 | Train MSE: 3.9032 | Val Acc: 0.4000 | LR: 0.000016
Epoch 39 | Train MSE: 3.9100 | Val Acc: 0.4000 | LR: 0.000016
Epoch 40 | Train MSE: 3.9121 | Val Acc: 0.4000 | LR: 0.000016
Epoch 41 | Train MSE: 3.9103 | Val Acc: 0.4000 | LR: 0.000016
Epoch 42 | Train MSE: 3.9229 | Val Acc: 0.4000 | LR: 0.000016
Epoch 43 | Train MSE: 3.9096 | Val Acc: 0.4000 | LR: 0.000016
Epoch 44 | Train MSE: 3.9093 | Val Acc: 0.4000 | LR: 0.000008
Epoch 45 | Train MSE: 3.8938 | Val Acc: 0.4000 | LR: 0.000008
Epoch 46 | Train MSE: 3.9023 | Val Acc: 0.4000 | LR: 0.000008
Epoch 47 | Train MSE: 3.8938 | Val Acc: 0.4000 | LR: 0.000008
Epoch 48 | Train MSE: 3.9075 | Val Acc: 0.4000 | LR: 0.000008
Epoch 49 | Train MSE: 3.8774 | Val Acc: 0.4000 | LR: 0.000008
Epoch 50 | Train MSE: 3.8997 | Val Acc: 0.4000 | LR: 0.000004
