
--- 訓練啟動 S05 | Wed Apr  8 12:57:27 2026 ---
Epoch 01 | Train MSE: 6.4036 | Val Acc: 0.6038 | LR: 0.000500
Epoch 02 | Train MSE: 4.9819 | Val Acc: 0.6012 | LR: 0.000500
Epoch 03 | Train MSE: 4.8650 | Val Acc: 0.5783 | LR: 0.000500
Epoch 04 | Train MSE: 4.7509 | Val Acc: 0.5825 | LR: 0.000500
Epoch 05 | Train MSE: 4.6870 | Val Acc: 0.4829 | LR: 0.000500
Epoch 06 | Train MSE: 4.5954 | Val Acc: 0.4350 | LR: 0.000500
Epoch 07 | Train MSE: 4.5425 | Val Acc: 0.5387 | LR: 0.000500
Epoch 08 | Train MSE: 4.4465 | Val Acc: 0.5746 | LR: 0.000250
Epoch 09 | Train MSE: 4.4237 | Val Acc: 0.5904 | LR: 0.000250
Epoch 10 | Train MSE: 4.3792 | Val Acc: 0.5921 | LR: 0.000250
Epoch 11 | Train MSE: 4.3503 | Val Acc: 0.5721 | LR: 0.000250
Epoch 12 | Train MSE: 4.3166 | Val Acc: 0.6004 | LR: 0.000250
Epoch 13 | Train MSE: 4.2690 | Val Acc: 0.5879 | LR: 0.000250
Epoch 14 | Train MSE: 4.2219 | Val Acc: 0.5750 | LR: 0.000125
Epoch 15 | Train MSE: 4.2161 | Val Acc: 0.6058 | LR: 0.000125
Epoch 16 | Train MSE: 4.2050 | Val Acc: 0.6033 | LR: 0.000125
Epoch 17 | Train MSE: 4.1796 | Val Acc: 0.6033 | LR: 0.000125
Epoch 18 | Train MSE: 4.1650 | Val Acc: 0.6004 | LR: 0.000125
Epoch 19 | Train MSE: 4.1507 | Val Acc: 0.6046 | LR: 0.000125
Epoch 20 | Train MSE: 4.1358 | Val Acc: 0.6079 | LR: 0.000125
Epoch 21 | Train MSE: 4.1217 | Val Acc: 0.5808 | LR: 0.000125
Epoch 22 | Train MSE: 4.1009 | Val Acc: 0.5896 | LR: 0.000125
Epoch 23 | Train MSE: 4.0923 | Val Acc: 0.6025 | LR: 0.000125
Epoch 24 | Train MSE: 4.0914 | Val Acc: 0.5375 | LR: 0.000125
Epoch 25 | Train MSE: 4.0550 | Val Acc: 0.5775 | LR: 0.000125
Epoch 26 | Train MSE: 4.0407 | Val Acc: 0.5908 | LR: 0.000125
Epoch 27 | Train MSE: 4.0071 | Val Acc: 0.5821 | LR: 0.000063
Epoch 28 | Train MSE: 4.0184 | Val Acc: 0.5671 | LR: 0.000063
Epoch 29 | Train MSE: 3.9982 | Val Acc: 0.5483 | LR: 0.000063
Epoch 30 | Train MSE: 3.9929 | Val Acc: 0.5867 | LR: 0.000063
Epoch 31 | Train MSE: 3.9930 | Val Acc: 0.5854 | LR: 0.000063
Epoch 32 | Train MSE: 3.9703 | Val Acc: 0.5487 | LR: 0.000063
Epoch 33 | Train MSE: 3.9591 | Val Acc: 0.5483 | LR: 0.000031
Epoch 34 | Train MSE: 3.9604 | Val Acc: 0.5587 | LR: 0.000031
Epoch 35 | Train MSE: 3.9624 | Val Acc: 0.5796 | LR: 0.000031
Epoch 36 | Train MSE: 3.9390 | Val Acc: 0.5583 | LR: 0.000031
Epoch 37 | Train MSE: 3.9373 | Val Acc: 0.5804 | LR: 0.000031
Epoch 38 | Train MSE: 3.9270 | Val Acc: 0.5813 | LR: 0.000031
Epoch 39 | Train MSE: 3.9238 | Val Acc: 0.5779 | LR: 0.000016
Epoch 40 | Train MSE: 3.9498 | Val Acc: 0.5887 | LR: 0.000016
Epoch 41 | Train MSE: 3.9205 | Val Acc: 0.5883 | LR: 0.000016
Epoch 42 | Train MSE: 3.9126 | Val Acc: 0.5904 | LR: 0.000016
Epoch 43 | Train MSE: 3.9181 | Val Acc: 0.5821 | LR: 0.000016
Epoch 44 | Train MSE: 3.9053 | Val Acc: 0.5854 | LR: 0.000016
Epoch 45 | Train MSE: 3.9123 | Val Acc: 0.5875 | LR: 0.000008
Epoch 46 | Train MSE: 3.9150 | Val Acc: 0.5883 | LR: 0.000008
Epoch 47 | Train MSE: 3.9177 | Val Acc: 0.5892 | LR: 0.000008
Epoch 48 | Train MSE: 3.9239 | Val Acc: 0.5896 | LR: 0.000008
Epoch 49 | Train MSE: 3.8928 | Val Acc: 0.5887 | LR: 0.000008
Epoch 50 | Train MSE: 3.9183 | Val Acc: 0.5917 | LR: 0.000008
